pr_author_login,pr_author_name,pr_create_at,pr_merged_at,pr_changed_files,pr_LOC,pr_reviewers,pr_first_review_at,pr_review_commits,pr_review_comments,pr_commits,repo_stars,repo_created_at,repo_external_contribution,repo_team_size,user_followers,user_created_at,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
liggitt,Jordan Liggitt,2021-07-09T17:33:45Z,2021-07-09T21:38:55Z,1,73,{'Unknown'},2021-07-09 18:13:53,0,4,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,693,2011-08-15T02:08:01Z,13.01,12.0,0,1,0.3843197540353574
dashpole,David Ashpole,2021-07-09T03:28:23Z,2021-07-12T17:22:48Z,6,28,{'Unknown'},2021-07-09 16:54:16,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,65,2013-01-14T04:58:38Z,16.009999999999998,6.0,0,1,0.6246096189881325
nilo19,Qi Ni,2021-07-09T01:44:46Z,2021-07-16T22:42:50Z,2,27,{'Unknown'},2021-07-09 03:42:55,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,7,2018-02-22T09:40:12Z,42.01,14.0,0,1,0.880742680314211
nilo19,Qi Ni,2021-07-09T01:42:18Z,2021-07-16T21:04:09Z,2,27,{'Unknown'},2021-07-09 03:42:18,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,7,2018-02-22T09:40:12Z,42.01,14.0,0,1,0.880742680314211
tkashem,Abu Kashem,2021-07-08T22:51:11Z,2021-07-12T13:06:48Z,1,5,{'Unknown'},2021-07-08 23:22:45,0,6,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,12,2014-04-23T15:08:59Z,11.01,11.0,0,1,0.45413260672116257
andrewsykim,Andrew Sy Kim,2021-07-08T21:40:52Z,2021-07-09T13:01:42Z,2,336,{'Unknown'},2021-07-08 22:00:12,1,4,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,230,2015-06-01T15:52:39Z,8.01,5.0,0,1,0.6242197253433208
SergeyKanzhelev,Sergey Kanzhelev,2021-07-08T16:45:10Z,2021-07-09T13:01:26Z,1,237,{'Unknown'},2021-07-08 19:09:10,0,1,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,139,2014-11-25T16:49:30Z,14.01,2.0,0,0,0.7851534618129907
borgerli,LI Bo,2021-07-08T08:34:06Z,2021-07-08T21:02:25Z,1,8,{'Unknown'},2021-07-08 10:21:45,0,1,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,7,2020-04-07T10:18:29Z,7.01,7.0,0,0,0.28530670470756064
liggitt,Jordan Liggitt,2021-07-08T05:54:15Z,2021-07-08T21:02:18Z,2,23,{'Unknown'},2021-07-08 14:48:35,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,693,2011-08-15T02:08:01Z,13.01,12.0,0,1,0.3843197540353574
chendave,Dave (Wei) Chen,2021-07-08T05:24:35Z,2021-07-09T15:43:24Z,3,80,{'Unknown'},2021-07-08 06:16:36,1,13,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,57,2013-11-22T05:30:24Z,7.01,5.0,0,0,0.5706134094151213
